genes	Symbol	Entrezid	Genename	logFC.a8_DJvsC.CONC	logFC.a9_JvsC.CONC	logFC.a10_DvsC.CONC	logCPM	F	PValue	FDR
ENSMUSG00000039114	Nrn1	68404	neuritin 1	-0.157341507796559	-0.43301429789264	0.431942911979801	5.3419389618188	35.5849589875421	4.17691297871897e-11	1.31674861146905e-08
ENSMUSG00000060177	Klk1b22	13646	kallikrein 1-related peptidase b22	-8.72173248656478	-0.472156174704249	-10.4718516515303	1.72331027593773	53.0997579423961	5.05973459669099e-11	1.56037815192736e-08
ENSMUSG00000051648	Kctd19	279499	potassium channel tetramerisation domain containing 19	1.81338682552727	1.98197316595743	-0.654338385069335	0.163146694376384	35.0168651891157	5.21720931190172e-11	1.57470917656676e-08
ENSMUSG00000032231	Anxa2	12306	annexin A2	-0.982733424796539	-1.07288614376255	-0.145337810534562	3.15142995840233	34.9140947694323	5.43290336565758e-11	1.60564931552538e-08
ENSMUSG00000074358	Ccdc61	232933	coiled-coil domain containing 61	1.1863834130301	0.139103180546756	1.48793447094934	1.15000531954359	34.7137687542233	5.88078041553228e-11	1.70254593826002e-08
ENSMUSG00000035299	Mid1	17318	midline 1	-0.778447231928909	0.236503866388217	-1.01570237846696	7.00138604233655	38.9302521779464	6.22973913458305e-11	1.7675015872639e-08
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	-1.0217529796521	-1.09175808187002	0.0888315848059075	1.83429455484299	34.4575848728513	6.51089814773596e-11	1.81105100242711e-08
ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6	0.716809733057805	0.646165955197756	0.0807176050910776	6.25066827978203	35.0657489158883	6.71362979336837e-11	1.83152985093699e-08
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	-0.109925922169903	0.177753628198372	-0.744417077812246	3.69514423335027	32.8749385384302	1.23628375470441e-10	3.25550401005597e-08
ENSMUSG00000030342	Cd9	12527	CD9 antigen	-0.684669652928087	-0.492138626764905	-0.536087084988244	5.62061397637692	32.8691617995408	1.23923034359948e-10	3.25550401005597e-08
ENSMUSG00000073910	Mob3b	214944	MOB kinase activator 3B	0.745197263876475	-0.0754735512564321	0.667847254683857	3.32631785904401	32.4975564180705	1.44521646586506e-10	3.72760741541122e-08
ENSMUSG00000047261	Gap43	14432	growth associated protein 43	-0.894258889763336	-0.715327392661549	-0.455793385718925	4.95765038632307	31.9467568989811	1.81937362365016e-10	4.60886325448235e-08
ENSMUSG00000025402	Nab2	17937	Ngfi-A binding protein 2	0.587654222949445	0.44558836316074	-0.299759741011844	3.95176814947964	30.7256553616971	3.06204910362938e-10	7.62074185685726e-08
ENSMUSG00000074457	S100a16	67860	S100 calcium binding protein A16	-0.803383855450394	-0.883048801737932	-0.716010470465591	4.1445470583519	30.3147634114395	3.66019684128107e-10	8.95233661903676e-08
ENSMUSG00000031565	Fgfr1	14182	fibroblast growth factor receptor 1	-0.350868385405975	-0.488924236693299	-0.0276457197230259	4.88200600471528	30.0400575842093	4.12782707456798e-10	9.92497540335954e-08
ENSMUSG00000023159	Psg29	114872	pregnancy-specific glycoprotein 29	2.20934120185985	-1.32806396436163	3.36594632081823	-1.42309195876596	32.6391186648416	4.22591653602441e-10	9.99147533000706e-08
ENSMUSG00000031841	Cdh13	12554	cadherin 13	-0.985688850105154	-0.809644644433375	-0.359081885202692	3.36574959075999	29.4746576020734	5.29963181702901e-10	1.22462421358934e-07
ENSMUSG00000000078	Klf6	23849	Kruppel-like factor 6	-0.427239593038049	-0.650197240703513	-0.111390975390439	5.05340255390998	29.4524653138886	5.35222763587615e-10	1.22462421358934e-07
ENSMUSG00000026547	Tagln2	21346	transgelin 2	-2.11488250200916	-0.891237030973885	-1.58036063249985	2.75816637347868	30.7367152800068	6.58077130652093e-10	1.48182256752866e-07
ENSMUSG00000044499	Hs3st5	319415	heparan sulfate (glucosamine) 3-O-sulfotransferase 5	-0.316651846933825	-0.56894234232373	0.190294671358482	3.66276002395231	28.9261248672058	6.77506773134664e-10	1.5017361068263e-07
ENSMUSG00000059146	Ntrk3	18213	neurotrophic tyrosine kinase, receptor, type 3	-0.187547751954041	0.410575226139115	-0.256762067526351	3.55369042220133	28.8479731257089	7.01816946506815e-10	1.53168849279164e-07
ENSMUSG00000074489	Bglap3	12095	bone gamma-carboxyglutamate protein 3	-1.64769295344288	0.0340605421116515	-1.96749297037072	1.62975374597183	29.0715886128244	7.24166657572376e-10	1.55651942489723e-07
ENSMUSG00000019558	Slc6a8	102857	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	-0.439177417739305	-0.318607283008711	0.0112855783981433	6.4929341693838	28.6832944883623	7.5609824142795e-10	1.60089696311894e-07
ENSMUSG00000032135	Mcam	84004	melanoma cell adhesion molecule	-0.888323846740716	-0.843411020482405	-0.488190494096962	2.58103705846415	27.6874560334309	1.19392899009015e-09	2.49074656667925e-07
ENSMUSG00000028788	Ptp4a2	19244	protein tyrosine phosphatase 4a2	0.274192819063299	-0.0384807857498594	0.57094442857405	7.32834030154791	27.0939730423119	1.61787964839618e-09	3.32626676697799e-07
ENSMUSG00000046157	Tmem229b	268567	transmembrane protein 229B	-0.745700035667023	0.0172834883544244	-0.621961930314218	7.56194994829762	28.0913005851872	1.92017297662677e-09	3.89136769234677e-07
ENSMUSG00000021260	Hhipl1	214305	hedgehog interacting protein-like 1	-1.26571870542723	-1.01098143488983	-0.440514443354513	1.20780733997197	26.1287734009478	2.49694000865317e-09	4.98895647362731e-07
ENSMUSG00000018340	Anxa6	11749	annexin A6	-0.570559180004923	-0.525292914101482	-0.189677191696378	5.11855659460943	25.9774657600712	2.68649154756093e-09	5.29313459634714e-07
ENSMUSG00000035615	Frmpd1	666060	FERM and PDZ domain containing 1	0.284090587675301	-0.037439054943534	0.375053292266157	8.02975479336502	25.9116609184882	2.77360051877966e-09	5.38990369306963e-07
ENSMUSG00000021713	Ppwd1	238831	peptidylprolyl isomerase domain and WD repeat containing 1	-0.648458001404836	-0.0733345003227583	-0.544477419472727	3.63058079306735	25.8412146221411	2.87015679704976e-09	5.50216815174972e-07
ENSMUSG00000022146	Osmr	18414	oncostatin M receptor	-1.13061025347371	-0.979917315708506	-1.06104292855927	3.44432654729356	26.3897394939253	2.95904191278576e-09	5.59692914330383e-07
ENSMUSG00000035189	Ano4	320091	anoctamin 4	-0.553528905058709	-0.436821446608147	0.0343786023591286	3.37831225525711	25.4503843622191	3.47412979747645e-09	6.46884424373785e-07
ENSMUSG00000096696	Zfp960	449000	zinc finger protein 960	0.0107629767868536	-0.12860667236265	0.417370346326187	5.43061489713241	25.4287693479652	3.51121533038076e-09	6.46884424373785e-07
ENSMUSG00000032515	Csrnp1	215418	cysteine-serine-rich nuclear protein 1	-1.11329725747174	-1.03968490808271	-0.162504773576673	2.22824341232528	25.3641840359606	3.62452974453146e-09	6.59199730204144e-07
ENSMUSG00000030905	Crym	12971	crystallin, mu	-1.15789196441426	-0.871648184463684	-1.06053891504788	5.47537590141804	27.7033572740577	4.01042522307152e-09	7.20150534360666e-07
ENSMUSG00000031799	Tpm4	326618	tropomyosin 4	-0.510725486452669	-0.406358106083848	-0.130833262180234	4.67904719965536	24.9137722825043	4.5299807180327e-09	8.03278830825149e-07
ENSMUSG00000008393	Carhsp1	52502	calcium regulated heat stable protein 1	-0.735372726432735	-0.617967457777103	-0.428108154732977	4.06889699493599	24.8343712530712	4.71288539293603e-09	8.2539496523692e-07
ENSMUSG00000032594	Ip6k1	27399	inositol hexaphosphate kinase 1	0.23154767394974	0.0178827020624277	0.245832345294386	8.09144126903947	24.060026548706	6.96361572769292e-09	1.20470552089087e-06
ENSMUSG00000024749	Tmc1	13409	transmembrane channel-like gene family 1	-1.21054183032066	-0.687494609736213	1.03738338848538	-0.331191842282802	23.8907363833473	7.59223236336054e-09	1.29763142538112e-06
ENSMUSG00000025283	Sat1	20229	spermidine/spermine N1-acetyl transferase 1	-0.502684040005387	-0.483364633342959	-0.296702727146604	5.12476013270755	23.7780648246289	8.0435084939447e-09	1.35839537494166e-06
ENSMUSG00000062380	Tubb3	22152	tubulin, beta 3 class III	-0.375960368352725	-0.463524670466541	0.02828649716454	6.13127311916119	23.5285898653466	9.14619035810645e-09	1.52644536964821e-06
ENSMUSG00000052031	Tagap1	380608	T cell activation GTPase activating protein 1	0.620642446910315	-0.00182183693256754	1.07641779012996	4.45652334924487	24.1023543723015	1.39189393274368e-08	2.21448172717261e-06
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a	-1.00837657518458	-0.949764515432606	-0.418277738281211	3.37128347318976	22.8268278874119	1.41162318648679e-08	2.21448172717261e-06
ENSMUSG00000038264	Sema7a	20361	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	0.624145579311676	0.00521693201725455	0.33480492821167	6.00979834029281	22.9773682975721	1.41490361716263e-08	2.21448172717261e-06
ENSMUSG00000027465	Tbc1d20	67231	TBC1 domain family, member 20	-0.293945315987351	-0.228873343451053	0.0360432097242623	6.13366313424324	22.6908407592422	1.41710626083503e-08	2.21448172717261e-06
ENSMUSG00000048440	Cyp4f16	70101	cytochrome P450, family 4, subfamily f, polypeptide 16	-0.557802114356671	-0.506220505377796	0.00200347775348377	3.19027684650505	22.6873404518662	1.41973141590847e-08	2.21448172717261e-06
ENSMUSG00000097842	9330104G04Rik	320950	RIKEN cDNA 9330104G04 gene	1.84391053492525	-0.028031174040684	2.25355665623546	0.297504015082817	22.6862633732414	1.42054023102148e-08	2.21448172717261e-06
ENSMUSG00000025789	St8sia2	20450	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	0.373221067552871	0.506608242209069	0.0915850419943266	4.57640869149615	22.5754205994869	1.50642519896281e-08	2.32284216005287e-06
ENSMUSG00000021895	Arhgef3	71704	Rho guanine nucleotide exchange factor (GEF) 3	0.0929582617759702	-0.0960075553340604	0.560560799803743	3.34299375958758	22.5423814061946	1.53306953804654e-08	2.33834773114698e-06
ENSMUSG00000067158	Col4a4	12829	collagen, type IV, alpha 4	0.44656708963921	-0.674333420772247	0.758537866700256	3.20207908032559	23.1735075065784	1.54944795381232e-08	2.33834773114698e-06
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	-0.587782246438003	-0.787277043421276	0.384335834963313	2.71835204890032	22.4934051998222	1.5734824814298e-08	2.34962341911191e-06
ENSMUSG00000030341	Tnfrsf1a	21937	tumor necrosis factor receptor superfamily, member 1a	-0.898311657241155	-0.959950385193585	-0.835238919496841	3.0166882849479	22.3560288225208	1.69293650774119e-08	2.50166638529339e-06
ENSMUSG00000004098	Col5a3	53867	collagen, type V, alpha 3	-0.113994949920108	-0.692095400516851	0.973080525352091	1.88633830935976	22.0726098494119	1.98096861854097e-08	2.89711554872394e-06
ENSMUSG00000044716	Dok7	231134	docking protein 7	-0.673509583123231	-0.817447294403198	-0.0491102631114227	2.2353987488406	22.0365294678997	2.00920498502003e-08	2.90842672627491e-06
ENSMUSG00000056752	Dnah9	237806	dynein, axonemal, heavy chain 9	-0.590617350538879	0.424392360154397	-0.636565244618953	5.46005365525828	23.3929428158547	2.67277360637609e-08	3.80703562685483e-06
ENSMUSG00000053475	Tnfaip6	21930	tumor necrosis factor alpha induced protein 6	-1.62365579766101	-0.727358099141847	-1.57660059519723	0.295706847897211	21.5030770720768	2.68365686370705e-08	3.80703562685483e-06
ENSMUSG00000027712	Anxa5	11747	annexin A5	-0.506229359487198	-0.536238601205496	-0.231399915388791	5.28557985900277	21.173613169007	3.216068362462e-08	4.51714314751346e-06
ENSMUSG00000041548	Hspb8	80888	heat shock protein 8	-1.04867749963118	-0.762059031630106	-0.205896277216647	2.97793866473743	21.1056379414249	3.33914204437944e-08	4.6440263766242e-06
ENSMUSG00000034796	Cpne7	102278	copine VII	0.491999619390959	0.0068111450960375	0.488531594381167	3.81319651641031	21.0406769066673	3.46139649804476e-08	4.76731754575369e-06
ENSMUSG00000020875	Hoxb9	15417	homeobox B9	-2.06936410040272	-3.05613223998687	0.581982247060349	-0.800308979371932	26.4510786975882	3.57048620987749e-08	4.87028051666558e-06
ENSMUSG00000030785	Cox6a2	12862	cytochrome c oxidase subunit VIa polypeptide 2	-3.29476105893471	-0.606812128760277	-3.3218161831887	-1.37699570778356	22.294459302934	3.77886259713069e-08	5.10542331456152e-06
ENSMUSG00000036560	Lgi4	243914	leucine-rich repeat LGI family, member 4	-0.798334889807372	-0.46336295713492	-1.04384340460781	3.64506414210524	21.0439199843415	4.01527388712075e-08	5.37364861912217e-06
ENSMUSG00000041168	Lonp1	74142	lon peptidase 1, mitochondrial	-0.305874233920294	-0.155231259518875	-0.283620053738953	5.96409349636319	20.6256325616474	4.36241810058377e-08	5.78366945559639e-06
ENSMUSG00000031762	Mt2	17750	metallothionein 2	-1.24234176250139	-1.01752165990017	-1.17095577008876	3.85762897780753	21.6842976465942	5.0650833588916e-08	6.6530807897441e-06
ENSMUSG00000061911	Myt1l	17933	myelin transcription factor 1-like	0.582778712598064	0.298753767707167	0.399342099918806	5.76039355675517	20.3241430207046	5.16992587622634e-08	6.72849252111439e-06
ENSMUSG00000022044	Stmn4	56471	stathmin-like 4	-0.347568517974412	-0.42414529835527	0.256777403747886	4.93451292920974	20.3386665238859	5.32647746587266e-08	6.86921903007906e-06
ENSMUSG00000049511	Htr1b	15551	5-hydroxytryptamine (serotonin) receptor 1B	0.712227153629852	0.759458880355301	-0.00337225196774675	3.44041565855866	20.1645382398464	5.6597531918567e-08	7.23326655672786e-06
ENSMUSG00000005087	Cd44	12505	CD44 antigen	-1.13455646383718	-0.883574669911215	-0.776638723356291	4.19088371656334	20.8008639224977	6.74226758203412e-08	8.53980427845857e-06
ENSMUSG00000020857	Nme2	18103	NME/NM23 nucleoside diphosphate kinase 2	-0.937767286486495	-0.643094387309271	-0.529198004670859	3.76664402316196	19.7287568611221	7.26266063891169e-08	9.11753131182311e-06
ENSMUSG00000057329	Bcl2	12043	B cell leukemia/lymphoma 2	0.764496588357001	-0.0999997082190299	0.434931656811934	5.0542581166296	20.0875603795368	8.76721387341068e-08	1.09097978954565e-05
ENSMUSG00000039518	Cdsn	386463	corneodesmosin	-1.89336215748741	-1.38644678348225	-0.900041991933421	0.174163030302324	19.3681679301641	8.94928782491584e-08	1.10395301812397e-05
ENSMUSG00000045136	Tubb2b	73710	tubulin, beta 2B class IIB	-1.0650540199576	-1.06502570247617	-0.414502324666049	3.87676245705769	19.8592881893875	1.08317411252304e-07	1.32464723795275e-05
ENSMUSG00000032024	Clmp	71566	CXADR-like membrane protein	-0.579450018305316	-0.575114798779081	-0.313537222033603	3.63860699811295	18.8038351327156	1.2466485984913e-07	1.51153478788014e-05
ENSMUSG00000027978	Prss12	19142	protease, serine 12 neurotrypsin (motopsin)	-3.10041084273295	-1.2519958752429	-1.5881438688817	-0.644979280582139	18.775732638945	1.26758865767632e-07	1.51902566826666e-05
ENSMUSG00000030407	Qpctl	67369	glutaminyl-peptide cyclotransferase-like	0.583370492240464	0.0638211677624271	0.54796697426058	3.18197825927791	18.7669049376657	1.27424259497908e-07	1.51902566826666e-05
ENSMUSG00000022346	Myc	17869	myelocytomatosis oncogene	-2.17392763523877	-1.34652498475616	-1.26331334328451	-0.0833313640704492	18.6193778106151	1.39105225944733e-07	1.64445561270999e-05
ENSMUSG00000031688	Pou4f2	18997	POU domain, class 4, transcription factor 2	0.970961396462597	0.857605511645535	0.350643736082415	2.95869540909239	18.5682320933761	1.4341351395604e-07	1.681375296678e-05
ENSMUSG00000004040	Stat3	20848	signal transducer and activator of transcription 3	-0.729281854927359	-0.754071151404968	-0.760521320869489	6.21742520362482	19.7388906401392	1.52824850877077e-07	1.77702732339526e-05
ENSMUSG00000040690	Col16a1	107581	collagen, type XVI, alpha 1	-1.43939428315005	-1.1073001658526	-1.38732423624412	1.14912817755625	18.4453119894297	1.5435217055335e-07	1.78019503371531e-05
ENSMUSG00000028294	Cfap206	69329	cilia and flagella associated protein 206	-0.870545364906021	-0.0296978480342392	-0.724685254834268	3.01422384352092	18.3942678194598	1.59149455463115e-07	1.82072110903206e-05
ENSMUSG00000025272	Tro	56191	trophinin	0.303059578130933	0.272026847003088	-0.0583684229724392	5.75516618614292	18.3733158635973	1.61163769572551e-07	1.82901538812496e-05
ENSMUSG00000020932	Gfap	14580	glial fibrillary acidic protein	-2.26225772514413	-1.80098734168231	-0.936433138000977	5.32833942459072	20.6810779446427	1.73564227556479e-07	1.95411280326683e-05
ENSMUSG00000036815	Dpp10	269109	dipeptidylpeptidase 10	0.436422934776654	0.521850982405423	-0.0716777883637834	4.12039115874127	18.1864725005121	1.80358917533462e-07	2.01462331033833e-05
ENSMUSG00000059336	Slc14a1	108052	solute carrier family 14 (urea transporter), member 1	-0.762485153683279	-0.965307905871014	-0.272374642490247	4.03328424098431	18.652028684347	1.85132969474427e-07	2.0517939882533e-05
ENSMUSG00000020658	Efr3b	668212	EFR3 homolog B	0.281452039734283	0.355042540020085	0.00609968722012694	6.77608556850208	18.118544650184	1.87921329799298e-07	2.06655192599445e-05
ENSMUSG00000029672	Fam3c	27999	family with sequence similarity 3, member C	0.201134847700589	0.0946532018319017	0.436961186687395	8.42664637297122	17.9562646440406	2.07370899676227e-07	2.26289506369766e-05
ENSMUSG00000026315	Serpinb8	20725	serine (or cysteine) peptidase inhibitor, clade B, member 8	1.6032875660106	1.34068672571471	0.425025401697581	0.596779080981716	17.915375762438	2.12598198158758e-07	2.3022275107482e-05
ENSMUSG00000095990	Zfp97	22759	zinc finger protein 97	0.305833041687381	-0.223338803057592	0.550333154123639	4.84842285753572	18.0999888791859	2.30014775625574e-07	2.47196182350333e-05
ENSMUSG00000022912	Pros1	19128	protein S (alpha)	-0.766447221545999	-0.832802682589859	-0.625033922235403	4.08685378462146	18.0637624441877	2.3390441131449e-07	2.49486314203561e-05
ENSMUSG00000094724	Rnaset2b	68195	ribonuclease T2B	1.28781236711746	-0.290501251917811	2.02845339523633	3.03600976600839	19.5085082185715	2.5524309726088e-07	2.70214819234541e-05
ENSMUSG00000034394	Lif	16878	leukemia inhibitory factor	-1.87815999202857	-2.00314053048433	-1.63793378752087	-0.123415406808966	17.5896409880386	2.5953469586115e-07	2.72722903369354e-05
ENSMUSG00000027457	Snph	241727	syntaphilin	-0.173860348549167	-0.163849824209689	0.0710780571921071	6.28656922661124	17.5493818631043	2.66051726224218e-07	2.76078191528458e-05
ENSMUSG00000030847	Bag3	29810	BCL2-associated athanogene 3	-0.561720335400094	-0.842139824835333	-0.38620495403345	2.71447456016834	17.5351412410959	2.68397991813838e-07	2.76078191528458e-05
