genes	Symbol	Entrezid	Genename	logFC.a11_CONCvsDNT.DJ	logFC.a12_CONCvsDNT.J	logFC.a13_CONCvsDNT.D	logFC.a14_CONCvsDNT.C	logCPM	F	PValue	FDR
ENSMUSG00000050359	Sprr1a	20753	small proline-rich protein 1A	7.25053708915124	5.60108075190375	10.2268249750601	11.4405254191496	2.43541055523685	218.852657493959	5.40742246392873e-22	4.26164972629405e-19
ENSMUSG00000037242	Clic4	29876	chloride intracellular channel 4 (mitochondrial)	0.712527090646463	0.600241571325181	1.02009367211857	0.777662314904975	5.50970185908517	136.403253131312	6.16727902244165e-22	4.60468527433459e-19
ENSMUSG00000054459	Vsnl1	26950	visinin-like 1	-0.675928801105656	-0.86311897354575	-0.755985305228387	-1.04565270228711	6.47298649172871	130.490896953141	1.34574468705334e-21	9.54536706526934e-19
ENSMUSG00000022594	Lynx1	23936	Ly6/neurotoxin 1	-0.691147566185199	-0.673713215947535	-0.643958965641407	-0.54653670521664	7.57933467527661	125.892250574861	2.52665339867066e-21	1.70681452921628e-18
ENSMUSG00000032387	Rbpms2	71973	RNA binding protein with multiple splicing 2	-0.91847504044118	-1.10203004661073	-1.55459398617281	-1.50349562696331	4.11158828376662	122.282761751214	4.2057797600349e-21	2.71196325799341e-18
ENSMUSG00000029304	Spp1	20750	secreted phosphoprotein 1	1.44062233847935	1.21363559700462	1.52889373101433	1.08140252551511	4.70847347458863	125.800829285591	6.37231399781048e-21	3.93033245099737e-18
ENSMUSG00000048899	Rimkla	194237	ribosomal modification protein rimK-like family member A	-0.542721951036948	-0.639648793334945	-0.815083578696461	-0.854469276843947	5.71091313154091	118.858839293422	6.90912150300274e-21	4.08386656839987e-18
ENSMUSG00000033595	Lgi3	213469	leucine-rich repeat LGI family, member 3	-1.01057369155146	-1.04694587538583	-1.13810787691972	-1.34258766944921	3.84456696338985	118.350155161261	7.4462618653514e-21	4.225306832875e-18
ENSMUSG00000049723	Mmp12	17381	matrix metallopeptidase 12	1.41062203766993	1.18992681763189	2.51058346236944	2.39429496484798	3.96413425424881	134.841556808504	8.60193751483394e-21	4.69334944559362e-18
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	0.909894365655598	1.02754718401044	2.22681733861677	2.5792504266884	4.08502126807864	131.109382244623	1.2342974723199e-20	6.48509034901116e-18
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	0.535310317223819	0.283154792774752	1.59648516215981	1.43196044424652	3.48336261619576	112.343893331477	1.84464948042595e-20	9.34578483190091e-18
ENSMUSG00000022044	Stmn4	56471	stathmin-like 4	0.766354069243693	0.631418082251895	1.52031588121462	1.17808130992048	4.93451292920974	112.765855390927	2.07799783948652e-20	1.01649921899847e-17
ENSMUSG00000038591	Colec10	239447	collectin sub-family member 10	3.32829014453653	4.55358074951696	6.09526359491307	7.33691304475659	-0.661290089548558	109.999090474039	2.66068159108457e-20	1.25814763503752e-17
ENSMUSG00000029088	Kcnip4	80334	Kv channel interacting protein 4	-0.575350612824421	-0.669698481508488	-0.72057009600537	-0.863895622166135	5.34269583098074	108.08561442926	3.606861478996e-20	1.65054635293668e-17
ENSMUSG00000029674	Limk1	16885	LIM-domain containing, protein kinase	-0.675893819767579	-0.718633162353838	-0.671826409366861	-0.610112169153447	4.87694950726609	106.799037547684	4.43796791963777e-20	1.96740665337442e-17
ENSMUSG00000038539	Atf5	107503	activating transcription factor 5	0.473076020806306	0.756066235584337	0.782840483894381	1.07668341019962	4.67848643583021	105.920566368097	5.1197040477225e-20	2.20085217033307e-17
ENSMUSG00000036578	Fxyd7	57780	FXYD domain-containing ion transport regulator 7	-1.97014573215599	-1.94822356526406	-2.16188765440552	-1.47551347971893	2.13817771101372	103.658701996792	7.43407278491158e-20	3.10175754490458e-17
ENSMUSG00000074968	Ano3	228432	anoctamin 3	-0.702368134702855	-0.986875968361509	-1.43510424613617	-1.37473537635981	3.7705742764536	102.447870719935	9.10477393279482e-20	3.69029494316078e-17
ENSMUSG00000035547	Capn5	12337	calpain 5	-0.726998656202946	-0.857981152203668	-0.690027013011856	-0.98074183160348	4.19165304090945	100.633578415534	1.23874157207243e-19	4.78990528622154e-17
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1	1.16984113950157	1.07832484873273	2.43807505686204	1.84146596199307	2.71835204890032	100.583954187808	1.24930562237556e-19	4.78990528622154e-17
ENSMUSG00000033615	Cplx1	12889	complexin 1	-0.740487037960035	-0.80366839266983	-0.739509468443988	-0.875315828789961	6.75908398439262	98.3650456498978	2.01103000125474e-19	7.50749252573676e-17
ENSMUSG00000048142	Nat8l	269642	N-acetyltransferase 8-like	-0.41065774477576	-0.456987697987202	-0.610220835673519	-0.727346965381628	5.9102289718743	96.2542921672499	2.66061144338644e-19	9.67780357330257e-17
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	-0.206064174409258	-0.399281616481541	-1.01945381554788	-1.13678417732791	6.28038829303672	94.3964156505985	5.30596051757108e-19	1.88175889755658e-16
ENSMUSG00000031688	Pou4f2	18997	POU domain, class 4, transcription factor 2	-0.647596743909559	-0.756055658885548	-1.47816535606749	-1.94631363325371	2.95869540909239	90.7335575864773	7.30420224465017e-19	2.48933606092086e-16
ENSMUSG00000053398	Phgdh	236539	3-phosphoglycerate dehydrogenase	2.30669495188857	2.3027060276894	3.1506991330243	2.32564561671899	3.61818811891617	112.992328724169	7.37009125607474e-19	2.48933606092086e-16
ENSMUSG00000032946	Rasgrp2	19395	RAS, guanyl releasing protein 2	-1.08336367737031	-1.09616334301726	-1.47230632760749	-1.42155630718323	2.98456326137919	89.9392099904589	8.48495016592252e-19	2.79924425706458e-16
ENSMUSG00000016346	Kcnq2	16536	potassium voltage-gated channel, subfamily Q, member 2	-0.383691267791404	-0.453988684701778	-0.596382423393627	-0.546508515722805	6.85769040182532	88.5213660906356	1.11199028420732e-18	3.58515776631023e-16
ENSMUSG00000023064	Sncg	20618	synuclein, gamma	-1.33165807286285	-1.33874058396913	-1.20539205303085	-1.28222316244742	5.68270350929476	103.033694390899	1.54756752757109e-18	4.87862065469412e-16
ENSMUSG00000060240	Cend1	57754	cell cycle exit and neuronal differentiation 1	-0.628299162770959	-0.606010707480751	-0.618551497916396	-0.672381490744818	6.35517791063507	86.4402602209474	1.66568299123673e-18	5.13682150297484e-16
ENSMUSG00000021604	Irx4	50916	Iroquois homeobox 4	-1.16953276903455	-1.62180629155257	-2.08330509629301	-2.21506558874803	1.85680750354243	85.5748145686931	1.97555433092906e-18	5.8436263350234e-16
ENSMUSG00000000555	Itga5	16402	integrin alpha 5 (fibronectin receptor alpha)	0.66218133398328	0.693401730056223	2.09751358015303	1.73648627137336	1.83429455484299	85.5360570416307	1.99077849245039e-18	5.8436263350234e-16
ENSMUSG00000064329	Scn1a	20265	sodium channel, voltage-gated, type I, alpha	-0.47649908576437	-0.612128243089987	-0.964567463691871	-1.07510832329999	6.28775891510449	89.2684575208473	2.01845263228638e-18	5.8436263350234e-16
ENSMUSG00000025432	Avil	11567	advillin	0.591158311271132	1.96974103797732	-0.0441981192031578	3.28380621990193	0.976979381654132	84.8497610831007	2.28183265246992e-18	6.47401560158765e-16
ENSMUSG00000036815	Dpp10	269109	dipeptidylpeptidase 10	-0.518717152294184	-0.554012486098054	-1.0748363273588	-1.17040995634641	4.12039115874127	82.3986037479637	3.74536533097973e-18	1.04179907029958e-15
ENSMUSG00000031586	Rbpms	19663	RNA binding protein gene with multiple splicing	-0.619563468745865	-0.692818584694187	-0.961219284057292	-1.08429064629211	4.55567387760167	81.8152100535025	4.22237073143457e-18	1.15189521531021e-15
ENSMUSG00000039114	Nrn1	68404	neuritin 1	-0.815944459606524	-1.11065184593763	-0.188902757361236	-0.759776392382312	5.3419389618188	80.845961965848	5.16163847818532e-18	1.37735810898815e-15
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	-0.342357719240904	-0.384444232258872	-1.00669931051952	-1.42895591406782	4.17917407905119	80.7709127848081	5.24300986080363e-18	1.37735810898815e-15
ENSMUSG00000021895	Arhgef3	71704	Rho guanine nucleotide exchange factor (GEF) 3	0.673939106573679	0.530072756367307	1.2568657991938	0.66705487666788	3.34299375958758	80.5212311227537	5.52358610299804e-18	1.42468349922055e-15
ENSMUSG00000034336	Ina	226180	internexin neuronal intermediate filament protein, alpha	-0.443052602475934	-0.485846894286715	-0.469328581328144	-0.689842641842664	6.52756619734246	78.8166827483879	7.91539775959934e-18	2.00513986817279e-15
ENSMUSG00000029552	Tes	21753	testis derived transcript	0.298337986765927	0.364059276601282	1.58829975403981	1.03700560663051	3.02859452887047	78.2206919606397	8.99111846187922e-18	2.23768432456524e-15
ENSMUSG00000036585	Fgf1	14164	fibroblast growth factor 1	-0.65290898389851	-0.679575341690735	-0.585451139225374	-0.822767468432654	5.64852566645615	78.1060015671307	9.21523044384978e-18	2.25391825993884e-15
ENSMUSG00000020635	Fkbp1b	14226	FK506 binding protein 1b	-1.59042764861763	-1.67339305954087	-1.66973889387193	-1.509422178731	1.61018347391115	77.5101163135836	1.04781562383967e-17	2.51937498979483e-15
ENSMUSG00000038602	Slc35f1	215085	solute carrier family 35, member F1	-0.455047680678423	-0.607786970651902	-0.641973544070773	-0.816034760020696	5.21798834669501	77.1828462259351	1.12481509280958e-17	2.65943781776612e-15
ENSMUSG00000024749	Tmc1	13409	transmembrane channel-like gene family 1	2.38121190014424	3.13308237073641	4.19426263346759	3.0123239600435	-0.331191842282802	76.4439521529763	1.32141246040522e-17	3.07304215791941e-15
ENSMUSG00000069372	Ctxn3	629147	cortexin 3	-1.36451927869195	-1.3447318926955	-1.62540441907572	-2.05258389809142	2.44609637979626	74.1088044180129	2.21881407333452e-17	5.07678974908443e-15
ENSMUSG00000007041	Clic1	114584	chloride intracellular channel 1	0.385896453615728	0.444700215133434	1.20764873763013	1.31182734391892	3.95567075541166	72.2370057101681	3.39701291316855e-17	7.6492103470173e-15
ENSMUSG00000005413	Hmox1	15368	heme oxygenase 1	0.889565160072181	0.877668694131387	1.5259653256728	1.70191439229625	2.20796094548872	71.5654025065603	3.96729112482931e-17	8.79374873387947e-15
ENSMUSG00000070304	Scn2b	72821	sodium channel, voltage-gated, type II, beta	-0.46413997463857	-0.372262189709041	-0.479740670346572	-0.522385511390869	6.04781945210114	69.6101180514903	6.27935429387625e-17	1.37044492327582e-14
ENSMUSG00000027313	Chac1	69065	ChaC, cation transport regulator 1	2.15240790407423	3.00512526466355	3.99377158474167	2.80771243473244	2.77581593237631	85.1422572714199	7.21965879299765e-17	1.55178908541613e-14
ENSMUSG00000093536	Smim17	100042450	small integral membrane protein 17	-1.10451741775578	-1.01630475030705	-1.0983634049044	-0.937319629739095	3.28094583486411	68.9067230814434	7.42769000110334e-17	1.57267478142764e-14
ENSMUSG00000048440	Cyp4f16	70101	cytochrome P450, family 4, subfamily f, polypeptide 16	0.528261127958841	0.441178583556519	0.933431280236791	0.943764807072361	3.19027684650505	68.0488715860841	9.13467815420117e-17	1.90565506316909e-14
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-0.0348471396425172	-0.0188642040162958	0.968591771259043	0.768151010102021	4.94507498777708	67.0992870113106	1.15158812793247e-16	2.36759843229711e-14
ENSMUSG00000022055	Nefl	18039	neurofilament, light polypeptide	-0.319118305710113	-0.417223090129031	-0.360930419115979	-0.713201008599217	8.87047775850052	65.7968818243062	1.58969047127787e-16	3.22162128936399e-14
ENSMUSG00000022454	Nell2	54003	NEL-like 2	-0.0226958886152676	0.0259096196037156	-0.658497505746509	-0.93214015278647	5.25783582970821	64.1021732717178	2.43862310789211e-16	4.87243766317711e-14
ENSMUSG00000034683	Ppp1r1c	75276	protein phosphatase 1, regulatory (inhibitor) subunit 1C	-1.73547870488183	-1.28222596086408	-3.30723215097954	-3.25419144492366	0.271964453245608	63.6016064325814	2.772341225534e-16	5.46228230908685e-14
ENSMUSG00000040703	Cyp2s1	74134	cytochrome P450, family 2, subfamily s, polypeptide 1	-0.753072654958252	-1.10914857776282	-1.07698532258949	-1.55689176233968	1.91804824322288	62.9001643163081	3.32308602135347e-16	6.4577120957425e-14
ENSMUSG00000019558	Slc6a8	102857	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	0.1706932684474	0.22554698295221	0.613931793949746	0.597898595948857	6.4929341693838	61.9509971872772	4.2583506064142e-16	8.16337320305294e-14
ENSMUSG00000028893	Sesn2	230784	sestrin 2	0.483514007212192	0.459050158436761	0.949667503638305	0.608664543211748	4.70173646593527	61.6719121015588	4.58330344691046e-16	8.66916569304958e-14
ENSMUSG00000031026	Trim66	330627	tripartite motif-containing 66	0.680265072659844	1.03250861583589	0.666698783442924	0.757995000784732	4.63289772882933	60.5339407436214	6.20442155916606e-16	1.15810426629381e-13
ENSMUSG00000045294	Insig1	231070	insulin induced gene 1	-0.464124519003825	-0.472807797635692	-0.564965167095086	-0.53094216025407	6.47850439975737	60.2558213194388	6.68601842481701e-16	1.23179035551239e-13
ENSMUSG00000024143	Rhoq	104215	ras homolog family member Q	0.324252277433065	0.289244969472188	0.705732879793418	0.601349155474192	5.1845741578223	59.13956838552	9.05268847227835e-16	1.64642870086847e-13
ENSMUSG00000029608	Rph3a	19894	rabphilin 3A	-0.258065718545363	-0.327093618744762	-0.492339602967562	-0.537739989497665	7.610398805653	58.9057952678069	9.651810976942e-16	1.7331720318848e-13
ENSMUSG00000017639	Rab11fip4	268451	RAB11 family interacting protein 4 (class II)	-0.358941130925408	-0.376413024772622	-0.312348916576146	-0.464580930999537	6.8810181179388	58.0258561948512	1.23089129199593e-15	2.18267798353178e-13
ENSMUSG00000032318	Isl2	104360	insulin related protein 2 (islet 2)	-0.876343156092026	-0.872628726704123	-1.87827891924116	-2.04982368351173	1.77306641883492	57.8048535688672	1.30905803791262e-15	2.292629299485e-13
ENSMUSG00000003657	Calb2	12308	calbindin 2	-0.732090320842356	-0.753582776783975	-0.599779650678183	-0.725089444174683	7.87678806158999	59.9933510110548	1.39817345944172e-15	2.41884008483417e-13
ENSMUSG00000034926	Dhcr24	74754	24-dehydrocholesterol reductase	-0.36597828564023	-0.367745150808438	-0.587390497322325	-0.591206806462194	6.68002118907675	57.0563890994842	1.61497848971133e-15	2.7395639106811e-13
ENSMUSG00000022523	Fgf12	14167	fibroblast growth factor 12	-0.423547958983595	-0.584578931615684	-0.629513046702596	-0.806111360916551	5.9959110951657	57.734711681826	1.62218644083753e-15	2.7395639106811e-13
ENSMUSG00000060882	Kcnd2	16508	potassium voltage-gated channel, Shal-related family, member 2	-0.601680405166605	-0.68524842180588	-0.910526272647086	-1.11087763770962	3.80378663863126	56.9240875906801	1.67646561631108e-15	2.7979224979987e-13
ENSMUSG00000039809	Gabbr2	242425	gamma-aminobutyric acid (GABA) B receptor, 2	-0.306563338309541	-0.399057061824242	-0.574384249160816	-0.665337171999311	6.15236297356131	55.7234790300967	2.36124398483174e-15	3.89495432195617e-13
ENSMUSG00000058441	Panx2	406218	pannexin 2	-0.541721385855732	-0.557197390148752	-0.668596991581665	-0.643243897166645	5.30796727486336	55.1292671586187	2.80392045435396e-15	4.53357933486084e-13
ENSMUSG00000031538	Plat	18791	plasminogen activator, tissue	0.83114537895408	0.573481291696532	0.872499201169971	0.660637311691713	3.55122319199779	55.1189772585143	2.81231482777213e-15	4.53357933486084e-13
ENSMUSG00000026347	Tmem163	72160	transmembrane protein 163	-0.99025002017693	-0.838760248611059	-0.562881209978884	-0.653661310362945	3.77842658671854	54.0116293798678	3.89032058654808e-15	6.20090874615405e-13
ENSMUSG00000048385	Scrt1	170729	scratch family zinc finger 1	-0.30655321343973	-0.309060882481055	-0.547738394533481	-0.627252191660089	6.58965979910479	53.9591947804024	3.95110376526963e-15	6.22781755712388e-13
ENSMUSG00000023067	Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21)	1.00439616330022	1.40704296194008	2.56074706899753	2.16722326031018	2.92762280098733	60.7672210688629	4.162252036656e-15	6.48853927384637e-13
ENSMUSG00000017167	Cntnap1	53321	contactin associated protein-like 1	-0.151834944863619	-0.26558818920796	-0.513426660456159	-0.530041536706946	6.29279050970247	53.6990456047456	4.26781384050435e-15	6.5807833849342e-13
ENSMUSG00000027864	Ptgfrn	19221	prostaglandin F2 receptor negative regulator	-0.484737778015381	-0.639503930483197	-0.649168308719355	-0.714229684269147	4.10183639793697	53.427689396285	4.62680144095768e-15	7.05761346681996e-13
ENSMUSG00000029826	Zc3hav1	78781	zinc finger CCCH type, antiviral 1	0.787623970933133	0.707797079400485	1.25375924192718	1.21109480475008	2.93992510888402	53.3495449578022	4.73597673257972e-15	7.14729424769956e-13
ENSMUSG00000018774	Cd68	12514	CD68 antigen	1.0158648321838	0.994151853207267	2.5802853314871	2.06674434283618	1.22113212453172	52.9533399406779	5.33281311418509e-15	7.96329335135049e-13
ENSMUSG00000020953	Coch	12810	cochlin	-0.721368772501516	-0.61123174730718	-0.622499011287136	-0.640814106281427	3.92367748166576	52.7713155625089	5.63308911996752e-15	8.32406273498533e-13
ENSMUSG00000058672	Tubb2a	22151	tubulin, beta 2A class IIA	-0.469479180481539	-0.453953440705372	-0.386146779984268	-0.42063974766831	7.13825809400737	52.6469311039328	5.84848094432178e-15	8.55325264702564e-13
ENSMUSG00000026156	B3gat2	280645	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	-0.460533517055758	-0.39372181485745	-0.603131908066805	-0.555937994366799	4.50078765200896	51.5821800465227	8.08871233585657e-15	1.17088237955573e-12
ENSMUSG00000041112	Elmo1	140580	engulfment and cell motility 1	-0.299288993247428	-0.320632853703016	-0.427735941310408	-0.489422983763207	6.06581354263985	50.2670258940774	1.21683006863649e-14	1.74363144986639e-12
ENSMUSG00000062591	Tubb4a	22153	tubulin, beta 4A class IVA	-0.360413634603286	-0.423706910302536	-0.40896126878792	-0.539482131361546	7.13288456752738	49.5651114788168	1.51869744933959e-14	2.15442420163315e-12
ENSMUSG00000039518	Cdsn	386463	corneodesmosin	0.512484172568738	1.65559257144939	1.76122735800339	3.3665082704322	0.174163030302324	49.123082609162	1.74848292950467e-14	2.45583948890626e-12
ENSMUSG00000032034	Kcnj5	16521	potassium inwardly-rectifying channel, subfamily J, member 5	-0.304924685786029	-0.36683361985433	-0.604653119165223	-0.629920082772081	3.94002657116904	48.9636190783633	1.8401280638416e-14	2.55922124643695e-12
ENSMUSG00000062661	Ncs1	14299	neuronal calcium sensor 1	-0.424258937079663	-0.328871657318171	-0.378532757217246	-0.456577089800149	5.84978398152057	48.5800793711551	2.08188720093171e-14	2.86734483809877e-12
ENSMUSG00000040618	Pck2	74551	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	0.554746701982121	0.380838172894526	0.831477031685101	0.405696076017539	4.11709741772217	48.2992841754237	2.27996268821757e-14	3.10995679760139e-12
ENSMUSG00000026202	Tuba4a	22145	tubulin, alpha 4A	-0.550628067509265	-0.540212938965425	-0.484994865707616	-0.526589630167844	6.08708822086071	48.2641747131767	2.30609028194019e-14	3.11563778472415e-12
ENSMUSG00000068099	1500009C09Rik	76505	RIKEN cDNA 1500009C09 gene	-0.682762885223406	-0.519256193782746	-0.555084240913734	-0.614122930054787	4.54470194786279	48.1770078997195	2.37232977465651e-14	3.17489341351672e-12
ENSMUSG00000039252	Lgi2	246316	leucine-rich repeat LGI family, member 2	-1.11684518784348	-0.854011479431504	-1.11295093970909	-0.824322254824402	2.09164028297686	47.7524395829395	2.7248545491915e-14	3.61259688175987e-12
ENSMUSG00000035407	Kank4	242553	KN motif and ankyrin repeat domains 4	-0.773918131603323	-0.913253813764335	-1.1703239624344	-1.17139193304013	1.94898384411521	47.4254978719613	3.03373592201247e-14	3.98486831385823e-12
ENSMUSG00000026576	Atp1b1	11931	ATPase, Na+/K+ transporting, beta 1 polypeptide	-0.256891278042395	-0.283414419568013	-0.339976304618481	-0.492074412037122	8.59149965019125	47.3706337733603	3.08908204812332e-14	4.02034109492453e-12
ENSMUSG00000026833	Olfm1	56177	olfactomedin 1	-0.342584606762689	-0.334799656839868	-0.402339280982205	-0.484485334209479	6.97532627879477	47.2560898569223	3.20808698327776e-14	4.13726563134349e-12
ENSMUSG00000022421	Nptxr	73340	neuronal pentraxin receptor	-0.243401928035473	-0.360353006349091	-0.428890460437009	-0.508215568759813	6.15717770385011	46.6641786887099	3.90486139240525e-14	4.99048321735683e-12
ENSMUSG00000018865	Sult4a1	29859	sulfotransferase family 4A, member 1	-0.46327108512382	-0.537743041249525	-0.547553074390586	-0.534648053652182	6.5467091214956	46.6035745225638	3.9846986663702e-14	5.03422416535589e-12
ENSMUSG00000021573	Tppp	72948	tubulin polymerization promoting protein	-0.26225640095329	-0.271334144781918	-0.326464964849818	-0.462963056886141	6.95837031682231	46.5845888989662	4.01006154437626e-14	5.03422416535589e-12
ENSMUSG00000032564	Cpne4	74020	copine IV	-0.577048604569092	-0.442982104125179	-0.751789218986723	-0.921299200095984	3.62647354499892	46.4833084860694	4.14826382015677e-14	5.16204127655648e-12
ENSMUSG00000078161	Erich3	209601	glutamate rich 3	-0.710139967680757	-0.58746615948351	-0.908700404897922	-1.1282856032798	2.91561539924935	46.4388614946126	4.21048877410473e-14	5.19391249995215e-12
ENSMUSG00000031297	Slc7a3	11989	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3	1.0488640238517	0.879598696223663	1.21942937830576	0.991584214256515	2.69145022338927	46.2266968060367	4.5213524578759e-14	5.52930223857134e-12
ENSMUSG00000036564	Ndrg4	234593	N-myc downstream regulated gene 4	-0.290499168056986	-0.331774873747278	-0.307626347947879	-0.417099336977488	8.74778683287846	46.1100081352974	4.70253959763208e-14	5.70172878051356e-12
ENSMUSG00000036062	Phf24	230085	PHD finger protein 24	-0.201068462493571	-0.32142964071272	-0.393008328568712	-0.535193662567753	5.96462923658214	46.0158178794429	4.85436369427737e-14	5.83593248873041e-12
ENSMUSG00000067242	Lgi1	56839	leucine-rich repeat LGI family, member 1	-0.546291532101444	-0.543053999292575	-0.867415518509505	-1.20352316984609	3.22821427280661	45.1543053866959	6.50784792494344e-14	7.75801098010485e-12
ENSMUSG00000042429	Adora1	11539	adenosine A1 receptor	-0.226921079983165	-0.348453066144422	-0.398660771964151	-0.513159848032805	5.95276982129172	45.0970676875015	6.6369031843464e-14	7.84592571442817e-12
ENSMUSG00000026452	Syt2	20980	synaptotagmin II	-0.285423678398988	-0.452572233817277	-0.639333145594934	-0.724723647113053	5.15560061732089	44.7579272348495	7.45894493260244e-14	8.7448423813139e-12
ENSMUSG00000021728	Emb	13723	embigin	-0.371906330471486	-0.466635836643847	-0.454701466071562	-0.734423123966004	4.866695906263	44.1239326660882	9.29661038476461e-14	1.07445903014622e-11
ENSMUSG00000032011	Thy1	21838	thymus cell antigen 1, theta	-0.46120323387806	-0.519063512972107	-0.310769798959142	-0.481601664019087	7.31013251484168	44.1179334996173	9.31611875849323e-14	1.07445903014622e-11
ENSMUSG00000089715	Cbx6	494448	chromobox 6	-0.157419475709313	-0.175476288679115	-0.285651229589054	-0.305811914378738	7.5339420809264	43.7083005623726	1.07556542937607e-13	1.23048154686523e-11
ENSMUSG00000028785	Hpca	15444	hippocalcin	-0.356561723001245	-0.419598417418476	-0.457925654690577	-0.479569760004621	6.23958857800212	43.5393618372442	1.14159111009615e-13	1.29556891902592e-11
ENSMUSG00000058297	Spock2	94214	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2	-0.246009014702667	-0.311135992944332	-0.318850731834202	-0.422614064146862	8.92167436518482	43.4784717487579	1.16642315854928e-13	1.31324435930001e-11
